loop,recall_micro,SFS,num selected features,feature idx,n_neighbors
1,0.4159663865546218,SFS,1,"(0,)",8
2,0.8126050420168068,SFS,5,"(0, 3, 4, 5, 7)",3
3,0.7873949579831933,SFS,6,"(0, 2, 4, 5, 6, 7)",4
4,0.846218487394958,SBS,5,"(2, 4, 5, 6, 7)",1
5,0.7789915966386554,SBS,3,"(0, 4, 5)",7
6,0.7983193277310925,SFS,4,"(0, 4, 5, 6)",5
7,0.7638655462184873,SFS,6,"(0, 2, 4, 5, 6, 7)",7
8,0.7605042016806722,SBS,7,"(0, 1, 2, 4, 5, 6, 7)",6
9,0.353781512605042,SBS,1,"(5,)",5
10,0.7672268907563025,SBS,4,"(0, 4, 5, 6)",9
11,0.7605042016806722,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",6
12,0.7924369747899159,SBS,6,"(0, 3, 4, 5, 6, 7)",4
13,0.8126050420168068,SFS,5,"(0, 3, 4, 5, 7)",3
14,0.7672268907563025,SBS,6,"(0, 2, 4, 5, 6, 7)",6
15,0.8042016806722689,SFS,3,"(4, 5, 6)",5
16,0.7983193277310925,SFS,4,"(0, 4, 5, 6)",5
17,0.7957983193277312,SBS,2,"(4, 5)",4
18,0.32605042016806723,SBS,1,"(7,)",6
19,0.7672268907563025,SFS,4,"(0, 4, 5, 6)",9
20,0.7495798319327731,SBS,6,"(0, 2, 4, 5, 6, 7)",8
