loop,f1_score_macro,SFS,num selected features,feature idx,n_neighbors
1,0.7185886769200802,SFS,2,"(0, 4)",4
2,0.7185886769200802,SFS,2,"(0, 4)",4
3,0.36769082102518985,SFS,1,"(0,)",1
4,0.8422537298125038,SFS,6,"(0, 2, 3, 4, 5, 7)",1
5,0.8089428447168295,SFS,6,"(0, 2, 3, 4, 5, 7)",2
6,0.8499335657011635,SFS,4,"(0, 3, 4, 5)",1
7,0.36769082102518985,SFS,1,"(0,)",1
8,0.8051567549976124,SFS,3,"(0, 4, 5)",2
9,0.7107825979225442,SFS,2,"(0, 4)",8
10,0.4129489122801805,SFS,1,"(0,)",6
11,0.40972069158920277,SFS,1,"(0,)",4
12,0.41662244775184387,SFS,1,"(0,)",8
13,0.7857965573107502,SFS,3,"(0, 4, 5)",5
14,0.8354574357417377,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",1
15,0.7622346414862557,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",5
16,0.7655274233590413,SFS,4,"(0, 3, 4, 5)",7
17,0.8354574357417377,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",1
18,0.388592971183518,SFS,1,"(0,)",3
19,0.760274960086149,SFS,5,"(0, 2, 3, 4, 5)",7
20,0.745760599032655,SFS,5,"(0, 3, 4, 5, 7)",9
