loop,f1_score_micro,SFS,num selected features,feature idx,n_neighbors
1,0.4100840336134454,SFS,1,"(0,)",7
2,0.8126050420168068,SFS,3,"(0, 4, 7)",3
3,0.738655462184874,SFS,6,"(0, 2, 3, 4, 5, 7)",8
4,0.7638655462184873,SFS,7,"(0, 1, 3, 4, 5, 6, 7)",4
5,0.7302521008403362,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",9
6,0.7226890756302521,SFS,2,"(0, 4)",6
7,0.7823529411764706,SFS,5,"(0, 3, 4, 5, 7)",5
8,0.8084033613445378,SFS,5,"(0, 3, 4, 5, 7)",3
9,0.7109243697478993,SFS,2,"(0, 4)",5
10,0.7529411764705882,SFS,4,"(0, 3, 4, 5)",8
11,0.7638655462184873,SFS,7,"(0, 1, 3, 4, 5, 6, 7)",4
12,0.7798319327731091,SFS,3,"(0, 4, 5)",6
13,0.7084033613445377,SFS,2,"(0, 4)",8
14,0.7932773109243698,SFS,6,"(0, 2, 3, 4, 5, 7)",2
15,0.784033613445378,SFS,4,"(0, 4, 5, 6)",4
16,0.7428571428571429,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",6
17,0.41008403361344536,SFS,1,"(0,)",4
18,0.7747899159663865,SFS,3,"(0, 4, 5)",7
19,0.8025210084033614,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",3
20,0.40588235294117647,SFS,1,"(0,)",5
