loop,precision_11,SFS,num selected features,feature idx,n_neighbors
1,0.8906449106449106,SFS,3,"(3, 4, 5)",9
2,0.8011904761904761,SFS,2,"(1, 2)",2
3,0.8906449106449106,SFS,4,"(1, 3, 4, 5)",9
4,0.8113782949077066,SFS,4,"(0, 2, 4, 6)",3
5,0.23682539682539683,SFS,1,"(2,)",2
6,0.8570784770784771,SFS,5,"(1, 3, 4, 5, 7)",9
7,0.8192388167388167,SFS,3,"(0, 2, 4)",3
8,0.8113782949077066,SFS,4,"(0, 2, 4, 6)",3
9,0.8041666666666668,SFS,3,"(1, 2, 6)",5
10,0.28342796092796096,SFS,1,"(2,)",5
11,0.8114529914529914,SFS,2,"(2, 4)",3
12,0.8570784770784771,SFS,5,"(1, 3, 4, 5, 7)",9
13,0.8113782949077066,SFS,5,"(0, 1, 2, 4, 6)",3
14,0.7828664799253034,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",7
15,0.8113782949077066,SFS,4,"(0, 2, 4, 6)",3
16,0.800473137973138,SFS,6,"(0, 1, 2, 4, 5, 6)",3
17,0.8041666666666668,SFS,3,"(1, 2, 6)",5
18,0.3145454545454546,SFS,1,"(4,)",8
19,0.8114141414141415,SFS,4,"(1, 3, 4, 5)",6
20,0.7731820467114585,SFS,6,"(0, 1, 3, 4, 5, 7)",7
