loop,precision_macro,SFS,num selected features,feature idx,n_neighbors
1,0.44320564585862343,SFS,1,"(0,)",4
2,0.7940173592873465,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",5
3,0.7443894895347272,SFS,2,"(0, 4)",4
4,0.8340578695773561,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",1
5,0.7703011367211877,SFS,3,"(0, 4, 5)",9
6,0.44663779185894426,SFS,1,"(0,)",9
7,0.7418153242374695,SFS,2,"(0, 4)",3
8,0.7719087541487832,SFS,4,"(0, 3, 4, 5)",9
9,0.7982237353795357,SFS,6,"(0, 2, 3, 4, 5, 7)",5
10,0.7982237353795357,SFS,6,"(0, 2, 3, 4, 5, 7)",5
11,0.812128159179698,SFS,5,"(0, 3, 4, 5, 6)",3
12,0.8028655878915394,SFS,3,"(0, 4, 5)",5
13,0.812128159179698,SFS,5,"(0, 3, 4, 5, 6)",3
14,0.7958076499271182,SFS,5,"(0, 3, 4, 5, 7)",5
15,0.7672757440459134,SFS,6,"(0, 2, 3, 4, 5, 7)",9
16,0.40619673209097795,SFS,1,"(0,)",2
17,0.8031509867436839,SFS,5,"(0, 4, 5, 6, 7)",4
18,0.806993224606592,SFS,4,"(0, 3, 4, 5)",5
19,0.8340578695773561,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",1
20,0.7812321721359237,SFS,5,"(0, 2, 3, 4, 5)",7
