loop,recall_5,SFS,num selected features,feature idx,n_neighbors
1,1.0,SFS,5,"(0, 1, 2, 3, 7)",9
2,0.9285714285714286,SFS,4,"(0, 1, 2, 3)",1
3,0.9714285714285715,SFS,2,"(0, 7)",4
4,0.9714285714285715,SFS,3,"(0, 1, 7)",4
5,1.0,SFS,6,"(0, 1, 2, 3, 4, 7)",7
6,1.0,SFS,2,"(0, 7)",9
7,0.9714285714285715,SFS,5,"(0, 1, 2, 3, 4)",3
8,0.8857142857142858,SFS,4,"(0, 1, 2, 3)",2
9,1.0,SFS,2,"(0, 7)",5
10,1.0,SFS,6,"(0, 1, 2, 3, 4, 7)",5
11,1.0,SFS,5,"(0, 1, 2, 3, 7)",5
12,1.0,SFS,5,"(0, 1, 2, 3, 7)",6
13,1.0,SFS,3,"(0, 1, 7)",9
14,1.0,SFS,2,"(0, 7)",8
15,1.0,SFS,4,"(0, 1, 2, 7)",7
16,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",8
17,0.8,SFS,1,"(7,)",4
18,1.0,SFS,2,"(0, 7)",9
19,0.9714285714285715,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",4
20,0.9285714285714286,SFS,4,"(0, 1, 2, 3)",1
