loop,recall_macro,SFS,num selected features,feature idx,n_neighbors
1,0.7554621848739496,SFS,4,"(0, 4, 5, 6)",9
2,0.7789915966386554,SFS,6,"(0, 2, 4, 5, 6, 7)",4
3,0.8411764705882353,SFS,4,"(0, 3, 4, 5)",1
4,0.7512605042016808,SFS,2,"(0, 4)",3
5,0.6915966386554624,SFS,2,"(0, 4)",9
6,0.7605042016806722,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",6
7,0.8033613445378152,SFS,5,"(0, 3, 4, 5, 7)",2
8,0.8327731092436975,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",1
9,0.7789915966386554,SFS,6,"(0, 2, 4, 5, 6, 7)",4
10,0.8184873949579832,SFS,4,"(0, 4, 6, 7)",3
11,0.7806722689075629,SFS,5,"(0, 4, 5, 6, 7)",4
12,0.7529411764705882,SFS,6,"(0, 2, 4, 5, 6, 7)",8
13,0.7722689075630251,SFS,5,"(0, 2, 4, 5, 6)",6
14,0.7697478991596638,SFS,4,"(0, 4, 5, 6)",7
15,0.7756302521008402,SFS,4,"(0, 4, 5, 6)",6
16,0.7899159663865545,SFS,3,"(0, 4, 7)",5
17,0.7596638655462185,SFS,6,"(0, 3, 4, 5, 6, 7)",7
18,0.7739495798319327,SFS,3,"(0, 4, 5)",7
19,0.7579831932773109,SFS,3,"(0, 4, 5)",9
20,0.7680672268907562,SFS,6,"(0, 2, 4, 5, 6, 7)",6
