loop,accuracy,SFS,num selected features,feature idx,n_neighbors
1,0.7571428571428571,SFS,3,"(0, 4, 5)",8
2,0.7907563025210085,SFS,5,"(0, 3, 4, 5, 6)",4
3,0.40336134453781514,SFS,1,"(0,)",8
4,0.7823529411764705,SFS,6,"(0, 2, 3, 4, 5, 6)",5
5,0.7605042016806722,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",6
6,0.7159663865546217,SFS,2,"(0, 4)",5
7,0.7966386554621849,SFS,3,"(0, 3, 4)",2
8,0.7840336134453781,SFS,5,"(0, 3, 4, 5, 6)",5
9,0.40336134453781514,SFS,1,"(0,)",8
10,0.7781512605042017,SFS,4,"(0, 3, 4, 5)",7
11,0.3680672268907563,SFS,1,"(0,)",3
12,0.7630252100840336,SFS,5,"(0, 2, 3, 4, 5)",9
13,0.76890756302521,SFS,3,"(0, 4, 5)",6
14,0.8218487394957983,SFS,4,"(0, 3, 4, 5)",3
