loop,f1_score_2,SFS,num selected features,feature idx,n_neighbors
1,0.9101689708141321,SFS,3,"(4, 5, 7)",1
2,0.3361430765242017,SFS,1,"(5,)",1
3,0.7717387338076993,SFS,4,"(0, 4, 5, 7)",3
4,0.5584709044908286,SFS,6,"(0, 1, 2, 4, 5, 7)",8
5,0.3446854412015702,SFS,1,"(0,)",9
6,0.5472804232804233,SFS,5,"(0, 1, 2, 4, 7)",9
7,0.7571765646292898,SFS,4,"(0, 2, 4, 5)",4
8,0.36566610592377097,SFS,1,"(2,)",6
9,0.35985470632363975,SFS,1,"(2,)",4
10,0.8113300492610838,SFS,6,"(0, 2, 4, 5, 6, 7)",1
11,0.7754424375114031,SFS,2,"(2, 4)",5
12,0.7717387338076993,SFS,4,"(0, 4, 5, 7)",3
13,0.6798961809417872,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",3
14,0.7443861024033438,SFS,5,"(0, 2, 4, 5, 7)",4
15,0.6798961809417872,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",3
16,0.5480798771121351,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",8
17,0.8275235754125697,SFS,4,"(4, 5, 6, 7)",2
18,0.8668381682174784,SFS,4,"(4, 5, 6, 7)",1
19,0.5301902937420179,SFS,7,"(0, 1, 2, 3, 4, 6, 7)",9
20,0.3446854412015702,SFS,1,"(0,)",9
