loop,precision_micro,SFS,num selected features,feature idx,n_neighbors
1,0.7554621848739496,SFS,4,"(0, 4, 5, 6)",9
2,0.7016806722689075,SFS,2,"(0, 4)",9
3,0.7857142857142858,SFS,3,"(0, 3, 4)",5
4,0.7655462184873949,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",5
5,0.8260504201680672,SFS,3,"(0, 3, 4)",1
6,0.7697478991596638,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",4
7,0.7260504201680673,SFS,2,"(0, 4)",5
8,0.7731092436974789,SFS,3,"(0, 4, 5)",7
9,0.7899159663865546,SFS,4,"(4, 5, 6, 7)",2
10,0.7621848739495798,SFS,5,"(0, 3, 4, 5, 7)",6
11,0.7831932773109245,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",2
12,0.34705882352941175,SFS,1,"(6,)",2
13,0.7966386554621849,SFS,4,"(0, 4, 6, 7)",3
14,0.8277310924369747,SFS,5,"(0, 3, 4, 5, 6)",1
15,0.8226890756302521,SFS,6,"(0, 2, 3, 4, 5, 6)",1
16,0.738655462184874,SFS,6,"(0, 2, 3, 4, 5, 7)",8
17,0.7663865546218487,SFS,4,"(0, 3, 4, 5)",6
18,0.8260504201680672,SFS,3,"(0, 3, 4)",1
19,0.7932773109243698,SFS,5,"(0, 4, 5, 6, 7)",3
20,0.7092436974789915,SFS,2,"(0, 4)",7
