loop,accuracy,SFS,num selected features,feature idx,n_neighbors
1,0.9,SFS,6,"(0, 6, 40, 53, 96, 102)",1
2,0.776470588235294,SFS,3,"(6, 64, 96)",6
3,0.9,SFS,6,"(0, 6, 40, 53, 96, 102)",1
4,0.8579831932773111,SFS,7,"(0, 1, 6, 40, 64, 96, 109)",4
5,0.8218487394957983,SFS,4,"(6, 64, 96, 109)",6
6,0.9016806722689076,SFS,7,"(0, 3, 6, 40, 53, 96, 102)",1
7,0.6991596638655462,SFS,2,"(32, 67)",7
8,0.8672268907563027,SFS,7,"(0, 3, 5, 6, 36, 64, 96)",5
9,0.8495798319327733,SFS,5,"(0, 6, 40, 96, 109)",4
10,0.8319327731092437,SFS,3,"(0, 6, 96)",1
11,0.8840336134453782,SFS,7,"(0, 6, 36, 52, 55, 64, 96)",3
12,0.4428571428571429,SFS,1,"(96,)",3
13,0.7848739495798319,SFS,3,"(0, 6, 96)",5
14,0.3840336134453781,SFS,1,"(96,)",2
15,0.6504201680672269,SFS,2,"(70, 96)",8
16,0.7840336134453781,SFS,3,"(0, 6, 96)",4
17,0.9016806722689076,SFS,7,"(0, 3, 6, 40, 53, 96, 102)",1
18,0.8369747899159664,SFS,5,"(0, 32, 36, 63, 67)",7
19,0.8277310924369747,SFS,6,"(3, 15, 36, 64, 70, 96)",8
20,0.8672268907563027,SFS,7,"(0, 3, 5, 6, 36, 64, 96)",5
