loop,f1_score_macro,SFS,num selected features,feature idx,n_neighbors
1,0.8231396024731307,SFS,5,"(1, 58, 64, 96, 104)",7
2,0.8628056570525366,SFS,6,"(0, 2, 36, 53, 70, 96)",3
3,0.87098864874228,SFS,7,"(0, 2, 36, 51, 53, 70, 96)",3
4,0.8414332324287198,SFS,7,"(1, 24, 48, 58, 64, 96, 104)",7
5,0.8297050977570709,SFS,7,"(0, 22, 24, 48, 51, 58, 96)",8
6,0.7800131997694187,SFS,4,"(24, 48, 51, 96)",9
7,0.6738845193745704,SFS,2,"(2, 96)",3
8,0.7831649110459836,SFS,3,"(2, 70, 96)",3
9,0.43420858835737325,SFS,1,"(96,)",9
10,0.7908538324057125,SFS,4,"(0, 2, 46, 96)",4
11,0.87098864874228,SFS,7,"(0, 2, 36, 51, 53, 70, 96)",3
12,0.63851703928846,SFS,2,"(48, 96)",9
